figure,output_file,generator,required_analysis_inputs,external_inputs,status_note
4.10,Figure_4_10_mode_response_fare_conditions.png,make_main_figures.py,"04_RQ_outputs/RQ3_original_bus_trip_mode_transitions.csv; 04_RQ_outputs/RQ3_DRT_mode_origins.csv",,"Reconstructed from the supplied final PNG; final legend uses Car passenger for the lavender category."
4.11,Figure_4_11_target_route_journey_time_and_utility.png,make_main_figures.py,"02_scenarios/{A8_FM,A8_SUB1,A8_FL,A8_FH}/person_level_impacts.csv.gz; 02_scenarios/{A8_FM,A8_SUB1,A8_FL,A8_FH}/trip_level_impacts.csv.gz",,"Reconstructed from the supplied final PNG; paired-journey use is aggregated deterministically to person level."
4.12,Figure_4_12_income_and_same_agent_utility_revised.png,make_main_figures.py,"02_scenarios/{A8_FM,B6_PTI}/person_level_impacts.csv.gz",,"Reconstructed from the supplied revised final PNG."
4.13,Figure_4_13_B0_origins_of_DRT_containing_trips.png,make_main_figures.py,04_RQ_outputs/RQ3_DRT_mode_origins.csv,,"Reconstructed from the supplied final PNG; final legend uses Ride or other for the lavender category."
4.14,Figure_4_14_distribution_of_paired_journey_waiting.png,make_main_figures.py,"02_scenarios/{A8_FM,B6_PTI}/trip_level_impacts.csv.gz",,"Reconstructed from the supplied final PNG, including ECDFs, upper-tail levels and relative dispersion."
5.1,Figure_5_1_context_and_replacement_outcomes_hybrid.png,make_main_figures.py,"01_baseline/baseline_target_line_operational_summary.csv; 04_RQ_outputs/RQ1_context_suitability_A_B_C.csv; 04_RQ_outputs/RQ3_original_bus_trip_mode_transitions.csv; 02_scenarios/{A8_FM,B6_PTI,C22_PTI}/drt_kpi_raw_final_window.csv",,"Reconstructed from the supplied final hybrid synthesis figure; clean output filename omits the upload duplicate suffix."
5.2,Figure_5_2_supply_and_demand_responses.png,make_main_figures.py,"04_RQ_outputs/RQ2_caseA_intervention_design.csv; 04_RQ_outputs/RQ3_original_bus_trip_mode_transitions.csv; 04_RQ_outputs/RQ3_DRT_mode_origins.csv; 02_scenarios/{A4_FL,A8_FL,A12_FL,A4_FH,A8_FH,A12_FH,A8_FM,A8_SUB1}/drt_kpi_raw_final_window.csv",,"Reconstructed from the supplied final six-panel synthesis figure."
5.3,Figure_5_3_distributional_and_behavioural_evidence_revised.png,make_main_figures.py,"04_RQ_outputs/RQ1_context_suitability_A_B_C.csv; 04_RQ_outputs/RQ3_DRT_mode_origins.csv; 02_scenarios/{A8_FM,B6_PTI}/person_level_impacts.csv.gz; 02_scenarios/{A8_FM,B6_PTI}/trip_level_impacts.csv.gz",,"Reconstructed from the supplied revised final PNG."
B.1,Figure_B1_hourly_road_network_changes.png,make_appendix_figures.py,"01_baseline/B0_network_by_hour.csv; 03_network/{A8_FM,B6_PTI,C22_PTI}/network_by_hour.csv",,"Supplied final PNG is missing; reconstructed from the final dissertation caption and method as hourly differences divided by daily B0 totals."
B.2,Figure_B2_representative_daily_sequences_journal.png,make_appendix_figures.py,"02_scenarios/A8_FM/person_level_impacts.csv.gz; 02_scenarios/A8_FM/trip_level_impacts.csv.gz",,"Uses the four representative person IDs frozen in the submitted final figure, with a deterministic fallback if a later archive omits one."
B.3,Figure_B3_demographic_variation_violin.png,make_appendix_figures.py,"02_scenarios/{A8_FM,B6_PTI}/person_level_impacts.csv.gz",,"Reconstructed from the supplied final PNG; clean output filename omits the upload duplicate suffix."
B.4,Figure_B4_three_hour_variation.png,make_appendix_figures.py,"02_scenarios/{A8_FM,B6_PTI}/trip_level_impacts.csv.gz",,"Reconstructed from the supplied final PNG using the frozen three-hour bins."
B.5,Figure_B5_residential_cell_utility_map.png,maps/make_figure_B5.py,04_RQ_outputs/RQ3_spatial_person_impacts.csv.gz,"spatial/*.shp; OSM extracts; MATSim transit schedule; MATSim network","Supplied map source retained and normalised; requires external geospatial inputs and validates the frozen affected-traveller counts."
B.6,Figure_B6_distance_to_rail_hubs_revised.png,make_appendix_figures.py,"02_scenarios/{A8_FM,B6_PTI}/person_level_impacts.csv.gz",,"Reconstructed from the supplied revised final PNG; named rail-hub coordinates are frozen in the generator."
B.7,Figure_B7_income_and_same_agent_utility_revised.png,make_appendix_figures.py,"02_scenarios/C22_PTI/person_level_impacts.csv.gz",,"Reconstructed from the supplied revised final PNG."
B.8,Figure_B8_mode_and_waiting_distributions_revised.png,make_appendix_figures.py,"02_scenarios/C22_PTI/mode_transitions_original_target_bus_trips.csv; 02_scenarios/C22_PTI/drt_mode_origins.csv; 02_scenarios/C22_PTI/trip_level_impacts.csv.gz",,"Reconstructed from the supplied revised final PNG."
B.9,Figure_B9_three_hour_variation_case_C_revised.png,make_appendix_figures.py,02_scenarios/C22_PTI/trip_level_impacts.csv.gz,,"Reconstructed from the supplied revised Case C final PNG."
B.10,Figure_B10_residential_cell_utility_case_C.png,maps/make_figure_B10.py,04_RQ_outputs/RQ3_spatial_person_impacts.csv.gz,"spatial/*.shp; OSM extracts; MATSim transit schedule; MATSim network","Supplied map source retained and normalised; requires external geospatial inputs and validates the frozen Case C affected-traveller count."
